start,end,video,utterance,state,transcript,translation
0.0,270.1341875,train_040,utterance_001,train, Sarıkaya konuşalım mı psikoloji klinik psikoloji gelmiş 55 sofraya Bu saatte mi çıktı Önder Açıkbaş ortadan kaldırmak için askere polise şikayet edilmez Niye ne oldu senin büyük bir şey almışsın dedi Bu şekilde kolay geçti senin tenin 35 gün önce Hadi ya ne kadar oldu bunlar ileride benim saplanmıştı bize bağlı olan adam Yeni not aldım bıraktım daha sonra oğlumun daha çok bozuk olduğu için çatlamıştı  şu anda ben de bundan dolayı bu 07 kendisi yapmıştır bir hayatım vardı Mustafa Keser'in hiçbir kendi istediği mesleği gibi gelecek buldun bunları ettim İyi bakalım Bu sıkıntılar orospu düşünce hayatım annen baban sana iyi gezmeler bu şekilde güzel kurabiye tarifleri taksi durakları en yakın hava durumları Ekranı niye hayırdır babaya kayınbaba mı yapılır dağ bu oradaki dişler şeyler bu ayarlar ölü resimleri Keskin bir program Tülay öldürdünüz 17.30 bir şekilde bağırdı çağırdı ben de onları hoş geldin böyle olunca babanın babamla kavga ettim Babam bu şekilde devam edin,Let&#39;s talk to Sarik Psychology Clinical Psychology has come to 55 cafeteria This is the time it came out Önder Open the police to raise from the center is not complained to the police to say what happened what happened to your big something said it was easy to pass this way your temper 35 days ago the man who is attached The new note I left off then my son was cracked because it was more broken so now I have had a life that this 07 itself has done Mustafa Keser has come to look like a profession that no one wants to own I look at these goodborns These bitches thought my life my mother daddy good trips this way nice cookie recipes taxi stops nearest weather why the screen is no no babe is my father and father made the mountain teeth there things these settings are dead pictures a sharp program Tülay killed you at 17.30 someone yelled at me yelled at it n this is how my dad fought with my dad my dad keep going like this
270.4341875,278.1108125,train_040,utterance_002,train, anlatırım ses sistemi,narrative sound system
278.4108125,357.0139375,train_040,utterance_003,train, bütün vücut ağırlığını kendi kendini her şeyini o sandalye vermekte bir insan hayatı boyunca dişleri şey varsa bilmiyorum sigara kutusu var arabada değil bu Bu evin içerisine öyle bir  lürüm İstiklal olmuş ki artık eski yeri kullanmaktan sandalye seni seni ömür perişan Hayat için söylüyorum bunu böyle bir paşam büyüsünler,"I do not know if the whole body weight is the chair that owns it all, a human being, if there are teeth, if there is anything, there is a cigarette box that is not in the car It is such a deference to this house that it has become an independence now that the chair used to use the old place you life,"
357.3139375,532.07,train_040,utterance_004,train, doktor değil Emniyeti çocuk Erzurumlu Niloya'yı tatlım onunki gibi açma geri zekalı ter olduğunda Ne haber Şakir geldi canım rahatsız haberi olacak acaba sefer olacak olan bakım onarım ben buraya geçtim Hani bu çocukla bir gün askerlik Bursa kılarken davalarında dolayı ortasındayım vardı Kendime uygun alayım kızma birader Asya dizi var mı Türk ve kız arkadaşı vardı Ne haber ajansı beni aramışsınız olmuyor Gülcan en son ben kaldım mübarek alsın dedi Bahtiyar Sokak Can veriyorsun,not a doctor Safety child Erzurumlu Niloya I like sweetheart Opening like a mere sweaty sweat What news I will come unharmed news will be uncomfortable I will be going to repair maintenance I went here Hani this boy with a day military service Bursa in the middle of the case I was in the middle of the case self- Is there an Asian series There were Turkish and girlfriends What news agency is not calling me Gulcan the last time I said I&#39;m blessed almayı Bahtiyar Street Can you give
532.37,581.85025,train_040,utterance_005,train, 4 5 6 36 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 50 9 birden ona kadar sayar mısınız 1'den 30'a 1.30 a kadar 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 20 25 26 27 31 32,4 5 6 36 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 50 9 Are you one of them from 1 to 30 to 1.30 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 20 25 26 27 31 32
582.15025,601.787625,train_040,utterance_006,train, 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20, 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
602.087625,616.11425,train_040,utterance_007,train, yiyecek bana verecek kadar anlatır mısınız size neler düşündürmektedir düşündürücü neyse dedi,will you tell me how much food will give me what makes you think
616.41425,649.3015625,train_040,utterance_008,train,  89 gönül bir olunca 8 9 10 11 12 insan olur biraz da ellerinde sabaha kadar olsaydı verirlerdi 3,"When 89 people were involved, they would give 8 9 10 11 12 if they were some sort of humor in their hands."
649.6015625,702.35625,train_040,utterance_009,train, gezip ben çıktım kurt kurt kurt kurt kurt erken böyle çıktı yaşamında yaşamınızdaki en güzel Hatıraları katranlı kadrosu yaşamındaki en güzel Hatıra ne zaman sonuçlanır bilim-teknoloji vardı babamın çıkmıştı Ben de 6 yaşındayım Barbie odasını topluyor,I wandered out wolf wolf wolf wolf wolf came out so early in life the most beautiful memories of your life the best of the tarred people memories of when there was science and technology my father had come out I am also 6 years old I am collecting the barbie room
702.65625,706.2,train_040,utterance_010,train, Teşekkürler iyi günler,Thanks have a good day
0.0,53.3755,dev_050,utterance_001,development, Ölüler kitabı bu çalışmaya katılmayı kabul ettiğiniz için teşekkür ederim diyor Bütün her sayfada size verecek görevleri tamamladıktan sonra Boşluk tuşuna bulursun Boşluk tuşuna tuşuna basınız Recep Bey bu anketi başlamadan önce teşekkür ederim gerçekten çok yardımcı oldunuz bana bu süreçte yılbaşından Bir önceki akşam yaptım Yarın sabah da taburcu herhalde ya Sabahtan Bundan sonra artık bir zaman bilmiyorum ama güzel oturma konuştum Sağ olasın heyet kararı de ne oldu Artık bilmiyorum Nasıl olduysa,"Thank you for agreeing to participate in this work After you complete the tasks that will be given to you on every page After you complete the tasks that will give you the space To find the key press the key for the space Recep Bey Thank you before you start this survey Thank you very much for helping me in this process from the previous year I did the previous evening Tomorrow morning, I guess I do not know a time anymore from the morning after Morning but I talked about the nice sitting What was the decision of the delegation that could be right I do not know anymore How was it"
